call_id,caller,callee,start_time,duration_sec,cell_id
CALL-0082,+91 90000 00101,+91 90000 00301,2019-03-04 10:00:00,124,TWR-A-01
CALL-0083,+91 90000 00101,+91 90000 00301,2019-03-11 10:00:00,298,TWR-A-01
CALL-0084,+91 90000 00101,+91 90000 00301,2019-03-18 10:00:00,84,TWR-A-01
CALL-0085,+91 90000 00101,+91 90000 00301,2019-03-25 10:00:00,129,TWR-A-01
CALL-0048,+91 90000 00302,+91 90000 00303,2025-06-10 11:16:00,513,TWR-C-01
CALL-0001,+91 90000 00105,+91 90000 00103,2025-06-10 16:57:00,113,TWR-A-01
CALL-0063,+91 90000 00901,+91 90000 00202,2025-06-10 17:00:00,184,TWR-A-02
CALL-0008,+91 90000 00102,+91 90000 00105,2025-06-11 21:39:00,374,TWR-A-01
CALL-0049,+91 90000 00301,+91 90000 00302,2025-06-12 12:26:00,497,TWR-C-01
CALL-0051,+91 90000 00303,+91 90000 00301,2025-06-13 09:33:00,186,TWR-C-01
CALL-0044,+91 90000 00301,+91 90000 00303,2025-06-13 11:38:00,148,TWR-C-01
CALL-0029,+91 90000 00201,+91 90000 00205,2025-06-14 11:08:00,540,TWR-B-01
CALL-0038,+91 90000 00302,+91 90000 00301,2025-06-15 16:10:00,340,TWR-C-01
CALL-0025,+91 90000 00201,+91 90000 00203,2025-06-16 13:34:00,886,TWR-B-01
CALL-0026,+91 90000 00203,+91 90000 00203,2025-06-16 14:58:00,383,TWR-B-01
CALL-0021,+91 90000 00203,+91 90000 00201,2025-06-17 14:15:00,341,TWR-B-01
CALL-0023,+91 90000 00202,+91 90000 00201,2025-06-17 16:29:00,710,TWR-B-01
CALL-0039,+91 90000 00303,+91 90000 00301,2025-06-17 17:32:00,718,TWR-C-01
CALL-0043,+91 90000 00302,+91 90000 00301,2025-06-17 19:02:00,709,TWR-C-01
CALL-0034,+91 90000 00203,+91 90000 00203,2025-06-18 15:33:00,761,TWR-B-01
CALL-0006,+91 90000 00102,+91 90000 00104,2025-06-18 18:24:00,45,TWR-A-01
CALL-0016,+91 90000 00105,+91 90000 00103,2025-06-19 20:54:00,68,TWR-A-01
